ttr_score,hapax_ratio,zipf_alpha,lora_r,learning_rate,dropout,val_loss
0.287,0.538,1.299,32,6.5e-05,0.095,2.1713
0.575,0.211,1.095,16,0.000824,0.181,2.1493
0.466,0.308,1.126,64,6.8e-05,0.031,1.237
0.399,0.498,1.181,32,5.5e-05,0.15,1.359
0.178,0.389,1.204,16,0.000149,0.114,1.3293
0.178,0.543,1.242,4,0.000114,0.077,2.2337
0.129,0.677,1.255,8,8e-05,0.095,4.0
0.533,0.17,1.456,4,0.000101,0.096,1.7251
0.401,0.526,1.51,4,1.6e-05,0.145,4.0
0.454,0.238,1.309,16,0.000741,0.253,1.7907
0.11,0.349,1.907,32,3.2e-05,0.146,4.0
0.585,0.12,1.553,64,0.000138,0.062,2.088
0.516,0.182,1.787,32,1.2e-05,0.021,4.0
0.206,0.292,1.924,16,3.9e-05,0.105,4.0
0.191,0.305,1.163,16,0.000238,0.047,1.1769
0.192,0.64,1.428,64,8.2e-05,0.251,3.0806
0.252,0.545,1.433,4,0.000289,0.298,1.4787
0.362,0.683,1.354,4,2e-05,0.255,4.0
0.316,0.459,1.009,32,0.000947,0.115,1.793
0.246,0.245,1.816,8,7.8e-05,0.024,2.0017
0.406,0.297,1.112,16,0.00012,0.213,1.4667
0.17,0.292,1.995,64,3.3e-05,0.2,4.0
0.246,0.296,1.773,32,4.8e-05,0.02,4.0
0.283,0.504,1.58,64,0.000204,0.237,1.2077
0.328,0.418,1.155,4,4.8e-05,0.247,2.9497
0.493,0.331,1.515,4,0.000274,0.215,2.0012
0.2,0.189,1.261,32,3.7e-05,0.218,4.0
0.357,0.113,1.252,8,0.00034,0.207,2.0334
0.396,0.231,1.83,4,0.000224,0.131,1.4051
0.123,0.164,1.381,64,2.7e-05,0.185,4.0
0.404,0.571,1.451,16,1.3e-05,0.185,4.0
0.185,0.167,1.843,16,0.000725,0.161,1.2448
0.133,0.535,1.088,8,3e-05,0.181,4.0
0.574,0.331,1.595,32,0.000143,0.12,1.5297
0.583,0.144,1.578,8,3.9e-05,0.203,1.489
0.504,0.588,1.425,64,0.000207,0.068,2.3477
0.252,0.448,1.83,8,0.000253,0.256,0.9564
0.149,0.241,1.943,16,1.4e-05,0.255,4.0
0.442,0.637,1.465,4,1.3e-05,0.149,4.0
0.32,0.127,1.456,4,0.000958,0.149,1.6605
0.161,0.221,1.502,32,0.000344,0.12,0.7158
0.348,0.551,1.723,64,3.3e-05,0.014,4.0
0.117,0.526,1.668,32,9.6e-05,0.043,4.0
0.555,0.274,1.223,8,0.000824,0.214,1.9219
0.229,0.137,1.064,8,0.000122,0.043,1.3894
0.431,0.615,1.949,8,6.9e-05,0.124,0.8892
0.256,0.288,1.261,64,1.2e-05,0.106,4.0
0.36,0.217,1.639,4,0.000148,0.066,1.2752
0.373,0.41,1.828,16,0.00058,0.159,1.2761
0.192,0.646,1.3,16,0.000122,0.109,1.8285
0.585,0.126,1.635,8,0.000366,0.228,1.9025
0.488,0.559,1.108,8,0.000592,0.192,1.7129
0.57,0.443,1.97,8,6.5e-05,0.144,1.0877
0.547,0.355,1.058,64,6.7e-05,0.173,1.2178
0.399,0.546,1.438,16,0.000696,0.129,1.7437
0.561,0.679,1.537,32,4.8e-05,0.235,0.8999
0.144,0.238,1.79,4,0.00021,0.288,1.2221
0.198,0.186,1.121,32,0.000174,0.23,1.2288
0.123,0.648,1.441,4,9.3e-05,0.259,4.0
0.263,0.501,1.3,64,0.000192,0.235,1.0608
0.294,0.363,1.312,4,0.000255,0.122,1.4882
0.236,0.444,1.779,64,0.000707,0.256,1.7315
0.514,0.547,1.005,16,0.0004,0.011,2.4263
0.278,0.564,1.749,4,5.2e-05,0.266,3.3621
0.24,0.652,1.81,8,7.3e-05,0.141,2.4412
0.371,0.356,1.901,8,0.000642,0.099,1.3407
0.17,0.276,1.627,64,3.5e-05,0.158,4.0
0.501,0.484,1.333,16,4.5e-05,0.206,1.2416
0.137,0.349,1.427,64,0.000239,0.185,0.9651
0.593,0.457,1.97,32,1.7e-05,0.185,1.9792
0.486,0.352,1.881,32,0.000375,0.03,1.801
0.199,0.192,1.464,32,0.000788,0.219,1.5216
0.103,0.382,1.943,8,0.000193,0.214,0.8798
0.508,0.515,1.823,32,1.4e-05,0.035,4.0
0.453,0.58,1.901,4,3e-05,0.013,2.6573
0.465,0.396,1.683,32,1.6e-05,0.295,4.0
0.486,0.199,1.858,8,4.2e-05,0.224,1.1212
0.137,0.349,1.892,4,0.000757,0.182,1.1843
0.279,0.572,1.092,16,5.2e-05,0.095,3.771
0.158,0.348,1.965,64,2.3e-05,0.083,4.0
0.532,0.518,1.334,64,0.00021,0.041,2.3459
0.412,0.404,1.44,4,0.00063,0.183,1.6706
0.265,0.245,1.792,4,1.2e-05,0.173,4.0
0.132,0.578,1.665,64,0.000217,0.281,0.9987
0.255,0.151,1.893,64,3.8e-05,0.188,4.0
0.263,0.415,1.401,4,5.6e-05,0.135,3.559
0.465,0.225,1.373,64,3e-05,0.269,2.5515
